month,soc_major,occupation,employed_thousands,source_reference_month
2026-06,41,Sales and related occupations,14403,2026-06
2026-06,43,Office and administrative support occupations,16184,2026-06
2026-06,45,"Farming, fishing, and forestry occupations",1187,2026-06
2026-06,47,Construction and extraction occupations,8289,2026-06
2026-06,49,"Installation, maintenance, and repair occupations",5074,2026-06
2026-06,51,Production occupations,7759,2026-06
2026-06,53,Transportation and material moving occupations,12010,2026-06
2026-08,11,Management occupations,21318,2026-08
2026-08,13,Business and financial operations occupations,10167,2026-08
2026-08,15,Computer and mathematical occupations,7010,2026-08
2026-08,17,Architecture and engineering occupations,3677,2026-08
2026-08,19,"Life, physical, and social science occupations",1859,2026-08
2026-08,21,Community and social service occupations,2957,2026-08
2026-08,23,Legal occupations,1735,2026-08
2026-08,25,"Education, training, and library occupations",8819,2026-08
2026-08,27,"Arts, design, entertainment, sports, and media occupations",3426,2026-08
2026-08,29,Healthcare practitioners and technical occupations,10799,2026-08
2026-08,31,Healthcare support occupations,5709,2026-08
2026-08,33,Protective service occupations,3271,2026-08
2026-08,35,Food preparation and serving related occupations,8081,2026-08
2026-08,37,Building and grounds cleaning and maintenance occupations,5660,2026-08
2026-08,39,Personal care and service occupations,4011,2026-08
2026-08,41,Sales and related occupations,14239,2026-08
2026-08,43,Office and administrative support occupations,16154,2026-08
2026-08,45,"Farming, fishing, and forestry occupations",1124,2026-08
2026-08,47,Construction and extraction occupations,8075,2026-08
2026-08,49,"Installation, maintenance, and repair occupations",4847,2026-08
2026-08,51,Production occupations,7716,2026-08
2026-08,53,Transportation and material moving occupations,12011,2026-08
