year,cps_group,employed_thousands
1996,sales and related occupations,14840.583333333334
1996,service occupations,19577.583333333332
1996,transportation and material moving occupations,8441.5
1997,construction and extraction occupations,7455.666666666667
1997,"farming, fishing, and forestry occupations",1106.6666666666667
1997,"installation, maintenance, and repair occupations",4470.083333333333
1997,"management, business, and financial operations occupations",18250.5
1997,office and administrative support occupations,19538.333333333332
1997,production occupations,10712.583333333334
1997,professional and related occupations,24472.5
1997,sales and related occupations,15163.583333333334
1997,service occupations,19983.5
1997,transportation and material moving occupations,8534.333333333334
1998,construction and extraction occupations,7602.666666666667
1998,"farming, fishing, and forestry occupations",1109.3333333333333
1998,"installation, maintenance, and repair occupations",4569.333333333333
1998,"management, business, and financial operations occupations",18776.916666666668
1998,office and administrative support occupations,19735.0
1998,production occupations,10730.5
1998,professional and related occupations,25201.0
1998,sales and related occupations,15354.166666666666
1998,service occupations,20392.833333333332
1998,transportation and material moving occupations,8523.5
1999,construction and extraction occupations,7638.916666666667
1999,"farming, fishing, and forestry occupations",1088.1666666666667
1999,"installation, maintenance, and repair occupations",4602.5
1999,"management, business, and financial operations occupations",19165.75
1999,office and administrative support occupations,19822.333333333332
1999,production occupations,10740.083333333334
1999,professional and related occupations,26199.083333333332
1999,sales and related occupations,15583.416666666666
1999,service occupations,20420.833333333332
1999,transportation and material moving occupations,8501.833333333334
2000,construction and extraction occupations,7620.333333333333
2000,"farming, fishing, and forestry occupations",1168.1666666666667
2000,"installation, maintenance, and repair occupations",4818.5
2000,"management, business, and financial operations occupations",19591.166666666668
2000,office and administrative support occupations,20447.75
2000,production occupations,11463.333333333334
2000,professional and related occupations,26709.75
2000,sales and related occupations,15721.583333333334
2000,service occupations,20776.583333333332
2000,transportation and material moving occupations,8574.083333333334
2001,construction and extraction occupations,7919.75
2001,"farming, fishing, and forestry occupations",1052.1666666666667
2001,"installation, maintenance, and repair occupations",4715.916666666667
2001,"management, business, and financial operations occupations",19829.916666666668
2001,office and administrative support occupations,20097.75
2001,production occupations,10727.0
2001,professional and related occupations,27213.166666666668
2001,sales and related occupations,15687.666666666666
2001,service occupations,21182.916666666668
2001,transportation and material moving occupations,8507.416666666666
2002,construction and extraction occupations,7898.166666666667
2002,"farming, fishing, and forestry occupations",1040.3333333333333
2002,"installation, maintenance, and repair occupations",4623.416666666667
2002,"management, business, and financial operations occupations",19822.666666666668
2002,office and administrative support occupations,19580.0
2002,production occupations,10080.75
2002,professional and related occupations,27357.583333333332
2002,sales and related occupations,15828.083333333334
2002,service occupations,21765.916666666668
2002,transportation and material moving occupations,8488.416666666666
2003,construction and extraction occupations,8114.416666666667
2003,"farming, fishing, and forestry occupations",1049.8333333333333
2003,"installation, maintenance, and repair occupations",5041.166666666667
2003,"management, business, and financial operations occupations",19933.5
2003,office and administrative support occupations,19536.416666666668
2003,production occupations,9699.583333333334
2003,professional and related occupations,27995.333333333332
2003,sales and related occupations,15960.083333333334
2003,service occupations,22085.833333333332
2003,transportation and material moving occupations,8320.0
2004,construction and extraction occupations,8522.0
2004,"farming, fishing, and forestry occupations",990.5833333333334
2004,"installation, maintenance, and repair occupations",5069.416666666667
2004,"management, business, and financial operations occupations",20234.916666666668
2004,office and administrative support occupations,19481.0
2004,production occupations,9462.25
2004,professional and related occupations,28297.166666666668
2004,sales and related occupations,15983.083333333334
2004,service occupations,22720.166666666668
2004,transportation and material moving occupations,8491.333333333334
2005,construction and extraction occupations,9145.083333333334
2005,"farming, fishing, and forestry occupations",976.4166666666666
2005,"installation, maintenance, and repair occupations",5226.416666666667
2005,"management, business, and financial operations occupations",20450.083333333332
2005,office and administrative support occupations,19528.833333333332
2005,production occupations,9377.666666666666
2005,professional and related occupations,28795.416666666668
2005,sales and related occupations,16433.25
2005,service occupations,23133.0
2005,transportation and material moving occupations,8663.75
2006,construction and extraction occupations,9507.5
2006,"farming, fishing, and forestry occupations",961.4166666666666
2006,"installation, maintenance, and repair occupations",5361.583333333333
2006,"management, business, and financial operations occupations",21232.416666666668
2006,office and administrative support occupations,19499.75
2006,production occupations,9378.333333333334
2006,professional and related occupations,29187.166666666668
2006,sales and related occupations,16641.083333333332
2006,service occupations,23811.5
2006,transportation and material moving occupations,8846.0
2007,construction and extraction occupations,9534.833333333334
2007,"farming, fishing, and forestry occupations",959.9166666666666
2007,"installation, maintenance, and repair occupations",5245.083333333333
2007,"management, business, and financial operations occupations",21577.416666666668
2007,office and administrative support occupations,19513.333333333332
2007,production occupations,9395.25
2007,professional and related occupations,30210.5
2007,sales and related occupations,16698.083333333332
2007,service occupations,24136.833333333332
2007,transportation and material moving occupations,8775.5
2008,construction and extraction occupations,8666.5
2008,"farming, fishing, and forestry occupations",988.5
2008,"installation, maintenance, and repair occupations",5151.5
2008,"management, business, and financial operations occupations",22058.916666666668
2008,office and administrative support occupations,19249.083333333332
2008,production occupations,8973.333333333334
2008,professional and related occupations,30702.25
2008,sales and related occupations,16294.75
2008,service occupations,24451.083333333332
2008,transportation and material moving occupations,8826.666666666666
2009,construction and extraction occupations,7439.25
2009,"farming, fishing, and forestry occupations",926.4166666666666
2009,"installation, maintenance, and repair occupations",4957.0
2009,"management, business, and financial operations occupations",21528.916666666668
2009,office and administrative support occupations,18145.916666666668
2009,production occupations,7653.833333333333
2009,professional and related occupations,30689.916666666668
2009,sales and related occupations,15641.083333333334
2009,service occupations,24598.166666666668
2009,transportation and material moving occupations,8297.083333333334
2010,construction and extraction occupations,7175.25
2010,"farming, fishing, and forestry occupations",986.5833333333334
2010,"installation, maintenance, and repair occupations",4911.416666666667
2010,"management, business, and financial operations occupations",20938.166666666668
2010,office and administrative support occupations,18047.0
2010,production occupations,7997.833333333333
2010,professional and related occupations,30804.916666666668
2010,sales and related occupations,15386.083333333334
2010,service occupations,24633.833333333332
2010,transportation and material moving occupations,8182.583333333333
2011,construction and extraction occupations,7124.833333333333
2011,"farming, fishing, and forestry occupations",1001.25
2011,"installation, maintenance, and repair occupations",4882.833333333333
2011,"management, business, and financial operations occupations",21589.5
2011,office and administrative support occupations,17736.0
2011,production occupations,8142.416666666667
2011,professional and related occupations,30957.5
2011,sales and related occupations,15330.5
2011,service occupations,24786.75
2011,transportation and material moving occupations,8318.083333333334
2012,construction and extraction occupations,7004.833333333333
2012,"farming, fishing, and forestry occupations",994.5833333333334
2012,"installation, maintenance, and repair occupations",4821.5
