survey_year,dorn_group,tenure_class,displaced_thousands,unweighted_count,sampling_variance
1984,beauty,all_tenures,35.49251,20,78.46249013157123
1984,child,all_tenures,23.268099999999997,14,37.823996268313515
1984,clean,all_tenures,48.83629,45,85.55415972838857
1984,cleric,all_tenures,1230.27833,763,2744.9062756244903
1984,constr,all_tenures,772.14643,490,1795.738280342129
1984,exec,all_tenures,610.13206,398,1450.9165840948906
1984,farmer,all_tenures,10.62553,8,17.231896379657567
1984,finsales,all_tenures,363.34428,242,721.7243974401055
1984,firepol,all_tenures,11.0863,9,20.045378941486142
1984,food,all_tenures,432.83368,295,841.5915751794381
1984,guard,all_tenures,80.32197000000001,55,136.43110958142287
1984,janitor,all_tenures,100.78367,62,233.3622318379952
1984,mechanic,all_tenures,543.15728,354,1169.0195416734318
1984,mgmtrel,all_tenures,261.20385,160,541.5305700444919
1984,mining,all_tenures,73.23713000000001,56,143.9299212154092
1984,operator,all_tenures,2503.76478,1512,6027.832013342501
1984,otheragr,all_tenures,102.07256,75,196.4849027649652
1984,othpers,all_tenures,31.50165,20,65.88867504236812
1984,product,all_tenures,695.9433399999999,446,1343.3741516519851
1984,prof,all_tenures,566.51228,367,1036.5810642110398
1984,recreation,all_tenures,13.95027,14,23.753292032073976
1984,retsales,all_tenures,697.9861099999999,462,1270.0845592297956
1984,shealth,all_tenures,60.26666,42,99.99359580178518
1984,tech,all_tenures,296.74413,193,632.00679306107
1984,transp,all_tenures,1575.22094,1035,3347.19529891586
1984,beauty,long_tenured,17.19427,10,35.06495706370648
1984,child,long_tenured,10.993630000000001,6,19.680427250267275
1984,clean,long_tenured,15.20622,16,21.91285652158135
1984,cleric,long_tenured,564.08746,347,883.962810281759
1984,constr,long_tenured,307.72534,192,653.4226228632921
1984,exec,long_tenured,317.21668,210,557.0241962382875
1984,farmer,long_tenured,4.803979999999999,4,6.949008605716221
1984,finsales,long_tenured,187.56760999999997,125,353.1204499042912
1984,firepol,long_tenured,5.38188,4,8.726948158791556
1984,food,long_tenured,140.52964,90,224.81928065635202
1984,guard,long_tenured,26.664270000000002,17,50.55902070221023
1984,janitor,long_tenured,33.63624,23,62.61319259226825
1984,mechanic,long_tenured,263.90454,170,454.8222517391933
1984,mgmtrel,long_tenured,123.22954000000001,79,222.53981121762087
1984,mining,long_tenured,35.222120000000004,25,62.91822503819544
1984,operator,long_tenured,1157.03142,706,1994.1077274159984
1984,otheragr,long_tenured,37.56819,27,70.49374309133671
1984,othpers,long_tenured,12.748299999999999,9,21.350527528348707
1984,product,long_tenured,386.22858,253,645.7567629683875
1984,prof,long_tenured,248.53984,161,493.0270234732246
1984,recreation,long_tenured,4.73482,3,9.348690639257477
1984,retsales,long_tenured,271.03851000000003,181,568.4388365967611
1984,shealth,long_tenured,26.95385,18,40.63384630679253
1984,tech,long_tenured,122.45855,79,220.62969661498116
1984,transp,long_tenured,642.1724,419,1280.9848391187973
1986,beauty,all_tenures,43.66398,29,86.25357723981786
1986,child,all_tenures,30.734050000000003,18,56.799645308742306
1986,clean,all_tenures,43.98182,29,83.53067690212724
1986,cleric,all_tenures,1067.93671,658,2037.47506077787
1986,constr,all_tenures,602.79452,359,1121.686367392813
1986,exec,all_tenures,652.09683,410,1493.7118954471366
1986,farmer,all_tenures,4.703139999999999,4,5.5379492250851765
1986,finsales,all_tenures,337.34585,215,653.4202659899088
1986,firepol,all_tenures,5.80787,5,13.346198834814954
1986,food,all_tenures,363.09637,235,701.069464558282
1986,guard,all_tenures,80.18137,51,134.80320946445067
1986,janitor,all_tenures,59.48004,34,143.58525591593443
1986,mechanic,all_tenures,512.50008,315,1100.883355408879
1986,mgmtrel,all_tenures,280.40601000000004,169,569.2742288371297
1986,mining,all_tenures,78.9816,62,161.42973224995603
1986,operator,all_tenures,2281.40216,1372,5330.105700777118
1986,otheragr,all_tenures,107.56132000000001,69,203.7134770929477
1986,othpers,all_tenures,33.635760000000005,17,80.36773630704698
1986,product,all_tenures,685.79715,409,1467.0221338935737
1986,prof,all_tenures,660.3242700000001,407,1098.2480199023041
1986,recreation,all_tenures,13.62663,11,20.188286625323194
1986,retsales,all_tenures,644.3961899999999,387,1443.0523316397544
1986,shealth,all_tenures,127.07794,79,254.25295815616363
1986,tech,all_tenures,360.02837,210,738.4146450032355
1986,transp,all_tenures,1352.84155,838,2420.227449332089
1986,beauty,long_tenured,7.19612,5,12.4776817076781
1986,child,long_tenured,9.83135,5,27.526197441057295
1986,clean,long_tenured,19.11517,13,32.815958037406546
1986,cleric,long_tenured,494.43834999999996,297,1111.018175743146
1986,constr,long_tenured,266.01635,154,550.1796397707725
1986,exec,long_tenured,325.94660999999996,198,587.6799384772773
1986,farmer,long_tenured,4.703139999999999,4,5.920664303766811
1986,finsales,long_tenured,192.29707000000002,119,365.0579240752676
1986,firepol,long_tenured,3.53946,2,11.604229522791067
1986,food,long_tenured,100.05842999999999,66,195.55966881737407
1986,guard,long_tenured,28.19997,15,54.52320134419737
