coding_block,occ1990dd,census_code,employed_thousands
2003_2010,59,1340,86.05268490833333
2003_2010,59,1420,315.2151923083333
2003_2010,59,1440,91.19855641666666
2003_2010,59,1500,68.15396935000001
2003_2010,59,1510,76.79408604999999
2003_2010,59,1530,2539.3569736666664
2003_2010,64,1000,6088.769873566665
2003_2010,64,1020,7165.230376316667
2003_2010,64,1040,2788.8429583583334
2003_2010,64,1060,752.3907696416667
2003_2010,64,1100,1621.3463407916668
2003_2010,64,1110,2920.6060188166666
2003_2010,65,700,410.8359950666667
2003_2010,65,1220,733.7895528749999
2003_2010,66,1200,178.53945395833335
2003_2010,68,1210,25.612838675
2003_2010,68,1230,253.15502108333337
2003_2010,68,1240,22.363226941666667
2003_2010,69,1700,160.498888725
2003_2010,73,1720,966.2088797666667
2003_2010,74,1710,67.153598975
2003_2010,75,1740,753.7968246500001
2003_2010,76,1760,976.6759330250001
2003_2010,77,1600,301.8722908666667
2003_2010,78,1610,875.4986580500001
2003_2010,79,1640,213.95661899166666
2003_2010,83,1650,1079.7199211500001
2003_2010,84,3060,6901.634988041667
2003_2010,85,3010,1394.0655868666665
2003_2010,86,3250,499.07779074999996
2003_2010,87,3040,279.6187445
2003_2010,88,3120,93.46075252499999
2003_2010,89,3000,531.5546965416665
2003_2010,89,3260,166.28416100833334
2003_2010,95,3130,20962.958214166665
2003_2010,96,3050,1972.4794689
2003_2010,97,3030,738.133264
2003_2010,98,3220,832.5778520416666
2003_2010,99,3150,707.177222475
2003_2010,99,3610,93.49648805
2003_2010,103,3160,1502.9266037166665
2003_2010,103,3620,535.9126942583333
2003_2010,104,3140,134.984272275
2003_2010,104,3230,925.553628925
2003_2010,105,3200,118.56501046666666
2003_2010,105,3210,149.81911968333333
2003_2010,105,3240,878.7853676416665
2003_2010,106,3110,670.64553435
2003_2010,154,2200,9791.767313074999
2003_2010,155,2300,5491.557242083333
2003_2010,156,2310,22045.30350475
2003_2010,157,2320,9317.016829775
2003_2010,158,2330,3099.6372952250003
2003_2010,159,2340,5804.350920741666
2003_2010,159,2540,7722.453171916667
2003_2010,159,2550,705.9663659416667
2003_2010,163,2000,5291.308695141666
2003_2010,164,2430,1691.9862574916665
2003_2010,165,2400,318.8575871666667
2003_2010,166,1800,220.3116076833333
2003_2010,166,1810,1077.846864125
2003_2010,167,1820,1450.494686325
2003_2010,169,1830,34.5256159
2003_2010,169,1860,325.8462876583334
2003_2010,173,1840,232.38006878333334
2003_2010,174,2010,5631.123057058334
2003_2010,176,2040,3393.6101622833335
2003_2010,176,2050,439.17065842500006
2003_2010,176,2060,728.1863507333334
2003_2010,177,2020,2427.8887228083336
2003_2010,178,2100,8467.703917525
2003_2010,183,2850,1480.1480680333334
2003_2010,184,2840,423.4071721083334
2003_2010,185,2630,6430.571257241667
2003_2010,186,2750,1483.4296909749999
2003_2010,187,2700,247.7513516
2003_2010,187,2710,1120.8822442416667
2003_2010,188,2600,1741.4367904
2003_2010,189,2910,1287.0828255416668
2003_2010,193,2740,199.61188805833336
2003_2010,194,2760,295.567071925
2003_2010,194,2860,614.0890997416667
2003_2010,195,2810,667.9623037083334
2003_2010,195,2830,1300.759639483333
2003_2010,195,2920,328.7643229583333
2003_2010,198,2800,436.67178779999995
2003_2010,199,2720,2027.6032922916665
2003_2010,199,7520,33.068546874999996
2003_2010,203,3300,2657.7287762083333
2003_2010,204,3310,1109.7994362166667
2003_2010,205,3510,821.3475030000001
2003_2010,206,3320,2386.4252195416666
2003_2010,207,3500,4424.297999133333
2003_2010,208,3400,1208.2673462750001
2003_2010,208,3530,994.4759554916667
2003_2010,208,3540,456.46974359999996
2003_2010,214,1550,3217.607448508333
2003_2010,214,1960,1200.6642949333336
2003_2010,217,1540,1466.6287285083333
2003_2010,218,1310,350.34160049166667
2003_2010,218,1560,683.8461758666666
2003_2010,223,1900,194.14324567499997
2003_2010,223,1910,174.522655525
2003_2010,224,1920,563.3355248166666
2003_2010,225,1930,119.26162401666666
2003_2010,226,9030,970.2290058916667
2003_2010,227,9040,294.85576585
2003_2010,228,2900,749.0078961666667
2003_2010,228,2960,3.78086695
2003_2010,229,1010,4297.2400694
2003_2010,233,7900,441.62731569999994
2003_2010,234,2140,2700.9442161166667
2003_2010,234,2150,1926.8645259333334
2003_2010,235,1940,27.755817658333335
2003_2010,243,4700,27040.264072583333
2003_2010,243,4710,10678.165494441666
2003_2010,253,4810,4319.0668323
2003_2010,254,810,915.4773157750001
2003_2010,254,4920,7546.7715590083335
2003_2010,255,4820,2987.2529278583334
2003_2010,256,4800,1716.6244197833332
2003_2010,258,4930,302.4091397416667
2003_2010,275,4740,1312.9861720333333
2003_2010,275,4750,1055.5775970500001
2003_2010,275,4760,26357.78269789167
2003_2010,275,4840,4152.62744225
2003_2010,275,4850,11013.195279024998
2003_2010,275,4940,1233.3734258916666
2003_2010,275,4960,1962.7406024833333
2003_2010,276,4720,24394.72019353333
2003_2010,276,5130,102.95329501666669
2003_2010,277,4950,2082.6125862583335
2003_2010,283,4900,554.2295453083334
2003_2010,303,5000,12815.263694950001
2003_2010,308,5800,1284.5150805583335
2003_2010,313,5700,27105.146027508334
2003_2010,315,5820,1906.3672886250001
2003_2010,315,5830,46.889742375
2003_2010,316,5230,441.5797394333334
2003_2010,316,5310,1236.9155193166666
2003_2010,316,5340,169.62032927500002
2003_2010,317,5300,987.7588811333334
2003_2010,318,4830,714.9843740583332
2003_2010,318,5410,1158.2632451333334
2003_2010,319,5400,10970.923620925
2003_2010,326,5210,63.72344105833333
2003_2010,326,5350,928.3989741416667
2003_2010,328,5360,445.6936899
2003_2010,329,2440,347.7657104166667
2003_2010,329,5320,949.084949175
2003_2010,335,5260,2962.2775009249995
2003_2010,336,5200,77.4113201
2003_2010,336,5420,799.8144216916667
2003_2010,337,5120,11631.043333508333
2003_2010,338,5140,1304.1804937
2003_2010,344,5110,3660.405205741667
2003_2010,346,5560,762.1297626166667
2003_2010,347,5900,412.2867902583334
2003_2010,348,5010,398.4443162416667
2003_2010,348,5020,380.08467199166665
2003_2010,354,5540,1273.2416272333332
2003_2010,355,5550,2752.8013086916662
2003_2010,356,5850,1002.1643766666666
2003_2010,357,5510,2165.4336743916665
2003_2010,359,5520,2243.477504283333
2003_2010,364,5500,158.68376940833332
2003_2010,364,5610,4355.960171566667
2003_2010,365,5150,199.5191992
2003_2010,365,5620,11531.089613766666
2003_2010,366,5530,360.82507925
2003_2010,368,5630,556.862000675
2003_2010,373,160,1970.5126150916667
2003_2010,373,5600,2220.1810450416665
2003_2010,375,540,2316.3184672916664
2003_2010,375,5840,2121.625847783333
2003_2010,376,5240,14858.560839325
2003_2010,376,5330,1296.1410692833333
2003_2010,377,5250,544.784266025
2003_2010,378,5100,1734.5612720666666
2003_2010,379,5860,8157.853650825
2003_2010,383,5160,3502.166898583333
2003_2010,384,5910,112.10077530833333
2003_2010,385,5810,3637.9260392999995
2003_2010,386,5920,178.65097726666664
2003_2010,389,5220,812.6786318833333
2003_2010,389,5930,4450.819055941666
2003_2010,405,4230,11266.685533508333
2003_2010,408,8300,1614.111276125
2003_2010,415,3730,783.5093273166667
2003_2010,417,3720,378.0260033416667
2003_2010,417,3740,2187.1828228583336
2003_2010,417,3750,159.64151399166667
2003_2010,418,3710,913.3643730916667
2003_2010,418,3820,1075.5265330083332
2003_2010,418,3850,5378.688450041666
2003_2010,418,3860,33.10138444166667
2003_2010,418,3910,661.0568961666667
2003_2010,423,3700,342.812178275
2003_2010,423,3800,3369.914286958333
2003_2010,423,3830,39.958081316666664
2003_2010,423,3840,61.70255985
2003_2010,425,3940,427.97985919166666
2003_2010,426,3920,6938.42802015
2003_2010,427,3900,88.56039069166667
2003_2010,427,3950,1172.751205375
2003_2010,434,4040,3022.2818156416665
2003_2010,435,4110,15745.350770233334
2003_2010,436,4000,2593.8629015166666
2003_2010,436,4010,4938.933819241667
