year,occ1990dd,universe,employed_thousands,person_months,distinct_households,months_observed,sampling_variance
1983,4,all_employed,24.458912500000004,221,128.0,12,8.251482549652039
1983,7,all_employed,352.92311583333327,2751,1480.0,12,149.88163091205715
1983,8,all_employed,107.68390833333332,866,492.0,12,39.20416791759281
1983,13,all_employed,552.7483458333334,4177,2407.0,12,211.4901405872033
1983,14,all_employed,416.35068916666665,3465,1580.0,12,210.35991477410678
1983,15,all_employed,92.19226416666666,742,499.0,12,35.158526738643424
1983,18,all_employed,316.84207250000003,2492,1258.0,12,157.38662294460997
1983,19,all_employed,44.27963166666666,352,122.0,12,27.436493076417246
1983,22,all_employed,6051.7923575,48301,22924.0,12,3146.5549130087797
1983,23,all_employed,1123.8702358333333,8646,3847.0,12,508.9291118369585
1983,24,all_employed,32.134375,235,157.0,12,9.450789063318856
1983,25,all_employed,504.5331816666666,3952,2162.0,12,204.37337523214953
1983,26,all_employed,129.1644,1043,644.0,12,35.39844795445775
1983,27,all_employed,322.25468916666665,2491,1506.0,12,134.65753227190083
1983,28,all_employed,16.830886666666668,159,102.0,12,4.170265586071485
1983,29,all_employed,189.62168999999997,1468,779.0,12,84.23493967695558
1983,33,all_employed,295.58609416666667,2187,1039.0,12,139.22931623965934
1983,34,all_employed,73.2522075,607,377.0,12,27.82137171625514
1983,35,all_employed,55.071643333333334,461,228.0,12,23.269903632328433
1983,36,all_employed,149.01406500000002,1234,681.0,12,55.56030541299144
1983,37,all_employed,169.89238,1373,885.0,12,56.9787743138017
1983,43,all_employed,105.30054083333333,849,366.0,12,44.27576351077904
1983,44,all_employed,80.95574916666666,564,291.0,12,43.432231304155046
1983,45,all_employed,26.65837833333333,187,103.0,12,8.996541883786465
1983,47,all_employed,32.5092775,256,136.0,12,21.33758316238151
1983,48,all_employed,72.3368775,563,274.0,12,35.10318239480807
1983,53,all_employed,217.97597583333334,1777,897.0,12,86.77859194488362
1983,55,all_employed,472.7892616666667,3441,1663.0,12,217.8665892989961
1983,56,all_employed,212.60182166666667,1521,811.0,12,95.27112937403702
1983,57,all_employed,263.4752266666667,1865,997.0,12,102.89559596098078
1983,59,all_employed,232.948495,1826,1111.0,12,61.32373428103627
1983,64,all_employed,272.4800191666667,2031,1175.0,12,85.02568269293572
1983,65,all_employed,146.89626833333335,1077,759.0,12,37.218325518309996
1983,66,all_employed,11.243953333333334,91,48.0,12,3.8658496238506737
1983,68,all_employed,35.526808333333335,291,143.0,12,11.568838892670573
1983,69,all_employed,28.77536333333333,243,111.0,12,10.665943618791207
1983,73,all_employed,95.8904125,736,340.0,12,46.44091264017987
1983,74,all_employed,10.757791666666666,96,47.0,12,4.3040686298276105
1983,75,all_employed,65.884385,548,246.0,12,30.91558112055794
1983,76,all_employed,10.822655833333332,90,69.0,12,3.067246837847773
1983,77,all_employed,26.24155083333333,256,145.0,12,8.620547397802763
1983,78,all_employed,54.704723333333334,496,267.0,12,18.39372038340638
1983,79,all_employed,37.48692,407,202.0,12,12.404023320074169
1983,83,all_employed,30.5440775,217,121.0,12,9.825692943493657
1983,84,all_employed,516.4698374999999,3958,1395.0,12,349.11574219941923
1983,85,all_employed,125.02479666666667,1018,362.0,12,70.7916054451733
1983,86,all_employed,36.472584166666664,323,114.0,12,15.02817197187827
1983,87,all_employed,21.476276666666667,194,78.0,12,10.589947289833114
1983,88,all_employed,7.170200833333333,57,21.0,12,3.131762994412432
1983,89,all_employed,24.842376666666667,205,73.0,12,11.184982915584499
1983,95,all_employed,1379.1417925,10944,3995.0,12,734.6973602481692
1983,96,all_employed,156.83055000000002,1270,447.0,12,103.3566335645004
1983,97,all_employed,71.0762,583,293.0,12,23.907330965299355
1983,98,all_employed,68.90602916666666,533,205.0,12,33.207885022416434
1983,99,all_employed,27.791548333333335,224,85.0,12,12.352948664169194
1983,103,all_employed,54.1603675,414,183.0,12,22.434740492858857
1983,104,all_employed,51.194273333333335,405,160.0,12,22.54164636651098
1983,105,all_employed,43.79587916666667,344,182.0,12,20.991669365195875
1983,106,all_employed,51.516575,402,191.0,12,22.26470771579705
1983,154,all_employed,611.75036,4994,1989.0,12,316.0353637809793
1983,155,all_employed,301.76281666666665,2455,1051.0,12,113.79744561181292
1983,156,all_employed,1346.4083675,11124,4302.0,12,689.4431812924598
1983,157,all_employed,1199.7721833333333,9984,3868.0,12,535.7673656906785
1983,158,all_employed,80.84914666666667,669,430.0,12,26.571193006722012
1983,159,all_employed,425.9989975,3555,1845.0,12,201.22542469769783
1983,163,all_employed,180.51212333333334,1496,757.0,12,70.2643284926958
1983,164,all_employed,192.40248666666668,1604,674.0,12,82.63973293624196
1983,165,all_employed,20.929175,181,82.0,12,9.33918187164992
1983,166,all_employed,96.6455025,776,482.0,12,29.24355710242934
1983,167,all_employed,134.14942666666667,1051,512.0,12,56.34792748214508
1983,169,all_employed,16.69289416666667,151,94.0,12,5.23954918934323
1983,173,all_employed,13.7939775,112,67.0,12,4.465337541692626
1983,174,all_employed,399.14186000000007,3168,1450.0,12,147.93929250113334
1983,176,all_employed,363.0600841666667,2898,1018.0,12,198.58003497064183
1983,177,all_employed,76.37193166666667,609,395.0,12,28.113361902072445
1983,178,all_employed,651.6057991666667,5099,1750.0,12,427.3428207298947
1983,183,all_employed,64.73993583333333,541,290.0,12,24.26768964416898
1983,184,all_employed,47.63560583333334,346,199.0,12,15.2583989931927
1983,185,all_employed,390.40439,2989,1609.0,12,168.47486841164894
1983,186,all_employed,159.64142083333334,1236,563.0,12,73.81753932656174
1983,187,all_employed,61.29763416666666,472,265.0,12,22.388808411624748
1983,188,all_employed,187.351665,1459,702.0,12,66.80619458364222
1983,189,all_employed,113.1731275,911,416.0,12,51.21733171106121
1983,193,all_employed,8.663501666666667,87,47.0,12,2.523934936517135
1983,194,all_employed,61.02106666666667,485,294.0,12,22.490939938136666
1983,195,all_employed,200.14430166666668,1727,764.0,12,72.28074812209019
1983,198,all_employed,38.1780775,386,181.0,12,13.947146797284406
1983,199,all_employed,56.38339666666667,430,267.0,12,18.33742858200719
1983,203,all_employed,259.6518658333333,1984,888.0,12,134.59456879195534
1983,204,all_employed,65.98852500000001,523,195.0,12,31.538309107023455
1983,205,all_employed,45.33607,380,204.0,12,16.403528786946417
1983,206,all_employed,99.72989833333332,798,318.0,12,47.437998551768224
1983,207,all_employed,446.4018641666667,3548,1509.0,12,244.2639780295491
1983,208,all_employed,196.38018666666667,1486,796.0,12,74.10977543466512
1983,214,all_employed,508.7430825,3894,2171.0,12,192.17520601423575
1983,217,all_employed,263.7680875,1986,911.0,12,138.24935461092466
1983,218,all_employed,81.91755666666667,744,368.0,12,36.79310040106751
1983,223,all_employed,52.913635,440,242.0,12,20.095953661327894
1983,224,all_employed,79.68651249999999,624,362.0,12,32.10702225247217
1983,225,all_employed,69.91948333333333,576,395.0,12,18.43336907124043
1983,226,all_employed,68.8518725,579,219.0,12,35.70991207763154
1983,227,all_employed,29.05762,234,115.0,12,12.79356075239882
1983,228,all_employed,36.58373,303,192.0,12,13.34428932067079
1983,229,all_employed,441.7197091666667,3325,1614.0,12,197.0035069860444
1983,233,all_employed,3.5715483333333338,27,20.0,12,0.9734342632476531
1983,234,all_employed,124.16927666666668,1006,522.0,12,45.25185694465706
1983,235,all_employed,213.42209916666664,1648,1154.0,12,69.83174700995299
1983,243,all_employed,3006.0283341666664,24196,10995.0,12,1304.1367299019596
1983,253,all_employed,544.3570158333333,4304,1779.0,12,236.25498449767056
1983,254,all_employed,568.1647075,4496,1761.0,12,278.8710359138657
1983,255,all_employed,208.08792583333332,1560,740.0,12,87.96462383177035
1983,256,all_employed,122.270035,991,509.0,12,50.918344471997045
1983,258,all_employed,39.9257975,270,154.0,12,15.604219853175024
1983,275,all_employed,4762.8179316666665,37263,16107.0,12,2426.886146576276
1983,276,all_employed,2016.7949466666666,15924,7608.0,12,1009.9954536311085
1983,277,all_employed,515.6191191666667,4210,2180.0,12,191.7124219656009
1983,283,all_employed,29.471676666666667,228,160.0,12,9.694729216645008
1983,303,all_employed,476.28761083333336,3733,2262.0,12,186.40073773233908
1983,308,all_employed,655.987095,4939,2697.0,12,274.07765660922365
1983,313,all_employed,3988.4679908333333,32060,13574.0,12,1966.5317190760445
1983,315,all_employed,893.9034941666666,6981,4115.0,12,417.0749082060371
1983,316,all_employed,173.98464916666666,1321,802.0,12,63.98676865627861
1983,317,all_employed,67.16278999999999,656,337.0,12,22.94548885386317
1983,318,all_employed,93.01113583333334,762,380.0,12,43.48517377129384
1983,319,all_employed,828.64415,6611,3790.0,12,263.9710968749267
1983,326,all_employed,210.11388083333333,1614,1008.0,12,70.86222082140239
1983,328,all_employed,65.98276,523,366.0,12,16.586928809220044
1983,329,all_employed,145.39762583333334,1156,568.0,12,61.8041554023661
1983,335,all_employed,280.10189999999994,2191,1446.0,12,84.57190393141286
1983,336,all_employed,157.20856916666668,1240,850.0,12,41.66220988695227
1983,337,all_employed,1940.8069225000002,16140,7825.0,12,955.746759015033
1983,338,all_employed,190.14427833333332,1473,788.0,12,74.11384669791792
1983,344,all_employed,293.88311583333336,2250,1297.0,12,104.73136083973952
1983,346,all_employed,7.758285833333333,62,43.0,12,1.9115449537406175
1983,347,all_employed,60.77415833333333,457,275.0,12,24.871407641407078
1983,348,all_employed,246.40163083333334,2017,877.0,12,95.053982300704
1983,354,all_employed,245.22633083333335,2004,741.0,12,122.15246554079292
1983,355,all_employed,256.93683416666664,2085,734.0,12,161.1777237207349
1983,356,all_employed,169.90663666666666,1311,704.0,12,61.12277457272638
1983,357,all_employed,119.65338583333332,925,545.0,12,42.24182975308121
1983,359,all_employed,150.31531833333332,1215,670.0,12,59.58296920820999
1983,364,all_employed,580.9562525,4325,2381.0,12,232.01329491176364
1983,365,all_employed,523.8753425,4052,2476.0,12,152.66611521341898
1983,366,all_employed,43.770802499999995,366,167.0,12,15.902686121340809
1983,368,all_employed,77.38120833333333,621,405.0,12,25.230940793434517
1983,373,all_employed,299.62186249999996,2249,1398.0,12,96.1239905017511
1983,375,all_employed,193.76473,1453,638.0,12,81.53354330138237
1983,376,all_employed,290.8029875,2209,1432.0,12,101.95299597283186
1983,377,all_employed,68.93540916666666,558,295.0,12,22.872524393248984
1983,378,all_employed,99.5798875,757,433.0,12,34.38253933163591
1983,379,all_employed,644.5995766666666,4995,3654.0,12,187.10067766864236
1983,383,all_employed,472.65300583333334,3758,1537.0,12,194.02696598963925
1983,384,all_employed,25.614257500000004,200,108.0,12,8.964567361772119
1983,385,all_employed,313.3528191666667,2345,1162.0,12,128.39191914760195
1983,386,all_employed,98.4451875,772,608.0,12,18.850905873430527
1983,387,all_employed,347.9815775,2795,1292.0,12,176.5539520734549
1983,389,all_employed,525.05788,4116,2818.0,12,156.76776558913605
1983,405,all_employed,1111.0066708333334,9232,4196.0,12,499.4282467926802
1983,408,all_employed,172.583665,1477,679.0,12,67.80954596111516
1983,415,all_employed,37.27450666666667,284,159.0,12,11.657284576082919
1983,417,all_employed,224.69886750000003,1753,648.0,12,133.93202843034567
1983,418,all_employed,526.48625,4018,1492.0,12,285.8123725018286
1983,423,all_employed,231.10485250000002,1785,743.0,12,104.31468557133809
1983,425,all_employed,42.32626166666667,317,116.0,12,21.80109306046277
1983,426,all_employed,595.8949566666666,4447,1934.0,12,353.2940690037178
1983,427,all_employed,64.09038583333333,523,277.0,12,31.014977547862262
1983,434,all_employed,336.48373333333336,2925,1310.0,12,153.02127273114306
1983,435,all_employed,1369.4385966666666,11251,5080.0,12,652.661689894574
1983,436,all_employed,1734.3937183333335,14475,6514.0,12,846.5700853769632
1983,439,all_employed,137.32854416666666,1089,695.0,12,43.77659217324662
1983,444,all_employed,1325.1184775,10776,5382.0,12,650.7657858253058
1983,445,all_employed,155.3668191666667,1204,488.0,12,76.64345110351032
1983,447,all_employed,1588.27984,12611,5522.0,12,773.0928950397
1983,448,all_employed,128.77072583333333,1059,567.0,12,56.588406599777095
1983,450,all_employed,100.71105499999999,741,457.0,12,39.75106729843227
1983,451,all_employed,652.0792966666667,4994,2850.0,12,295.8539697520794
