source_code,occ1990dd
3,4
4,4
5,22
6,418
7,7
8,8
9,33
13,13
14,14
15,15
16,22
17,22
18,18
19,19
21,22
22,22
23,23
24,24
25,25
26,26
27,27
28,28
29,29
33,33
34,34
35,35
36,36
37,37
43,43
44,44
45,45
46,47
47,47
48,48
49,59
53,53
54,59
55,55
56,56
57,57
58,59
59,59
63,218
64,64
65,65
66,66
67,68
68,68
69,69
73,73
74,74
75,75
76,76
77,77
78,78
79,79
83,83
84,84
85,85
86,86
87,87
88,88
89,89
95,95
96,96
97,97
98,98
99,99
103,103
104,104
105,105
106,106
113,154
114,154
115,154
116,154
117,154
118,154
119,154
123,154
124,154
125,154
126,154
127,154
128,154
129,154
133,154
134,154
135,154
136,154
137,154
138,154
139,154
143,154
144,154
145,154
146,154
147,154
148,154
149,154
153,154
154,154
155,155
156,156
157,157
158,158
159,159
163,163
164,164
165,165
166,166
167,167
168,169
169,169
173,173
174,174
175,466
176,176
177,176
178,178
179,178
183,183
184,184
185,185
186,186
187,187
188,188
189,189
193,193
194,194
195,195
197,13
198,198
199,199
203,203
204,204
205,205
206,206
207,207
208,208
213,214
214,214
215,214
216,214
217,217
218,218
223,223
224,224
225,225
226,226
227,227
228,228
229,229
233,233
234,234
235,235
243,243
253,253
254,254
255,255
256,256
257,274
258,258
259,274
263,275
264,275
265,275
266,275
267,275
268,275
269,275
274,275
275,275
276,276
277,277
278,277
283,283
284,274
285,274
303,303
304,308
305,303
306,348
307,364
308,308
309,308
313,313
314,313
315,315
316,316
317,317
318,318
319,319
323,319
325,336
326,326
327,326
328,328
329,329
335,335
336,336
337,337
338,338
339,344
343,344
344,344
345,347
346,346
347,347
348,348
353,349
354,354
355,355
356,356
357,357
359,359
363,373
364,364
365,365
366,366
368,368
373,373
374,389
375,375
376,376
377,377
378,378
379,379
383,383
384,384
385,385
386,386
387,387
389,389
403,408
404,436
405,405
406,468
407,405
413,417
414,418
415,415
416,417
417,417
418,418
423,423
424,423
425,425
426,426
427,427
433,433
434,434
435,435
436,436
438,444
439,439
443,444
444,444
445,445
446,447
447,447
448,448
449,405
453,453
454,469
455,455
456,470
457,457
458,458
459,459
461,461
462,462
463,471
464,464
465,177
466,468
467,387
468,468
469,469
473,473
474,473
475,475
476,475
477,479
479,479
483,498
484,479
485,450
486,451
487,472
488,488
489,489
494,496
495,496
496,496
497,829
498,498
499,498
503,503
505,505
506,505
507,507
508,508
509,509
514,514
515,508
516,516
517,516
518,518
519,519
523,523
525,525
526,526
527,527
529,527
533,533
534,534
535,535
536,536
538,533
539,539
543,543
544,544
547,549
549,549
553,558
554,558
555,558
556,558
557,558
558,558
563,563
564,563
565,563
566,563
567,567
569,567
573,573
575,575
576,575
577,577
579,579
583,583
584,584
585,585
587,585
588,588
589,589
593,593
594,594
595,595
596,599
597,597
598,598
599,599
613,628
614,614
615,615
616,616
617,617
628,628
634,634
635,634
636,785
637,637
639,637
643,643
644,644
645,645
646,653
647,535
649,649
653,653
654,653
655,634
656,645
657,657
658,658
659,658
666,666
667,666
668,668
669,669
674,669
675,675
676,645
677,677
678,678
679,679
683,785
684,684
686,686
687,687
688,688
689,799
693,779
694,694
695,695
696,696
699,699
703,703
704,703
705,703
706,706
707,707
708,708
709,709
713,713
714,779
715,779
717,779
719,719
723,723
724,724
725,779
726,733
727,727
728,729
729,729
733,733
734,734
735,734
736,736
737,734
738,738
739,739
743,743
744,744
745,745
747,747
748,408
749,749
753,753
754,754
755,755
756,756
757,757
758,755
759,779
763,763
764,764
765,765
766,766
768,769
769,769
773,467
774,774
777,779
779,779
783,783
784,783
785,785
786,675
787,675
789,789
793,675
795,675
796,799
797,799
798,779
799,799
803,803
804,804
806,804
808,808
809,809
813,813
814,809
823,823
824,824
825,825
826,824
828,829
829,829
833,829
834,834
843,859
844,844
845,848
848,848
849,848
853,853
855,594
856,804
859,859
864,803
865,865
866,866
867,218
868,889
869,869
873,874
874,873
875,875
876,859
877,889
878,878
883,889
885,885
887,887
888,888
889,889
